Nom,Province,Identification Climat,Identification Station,Identification OMM,Identification TC,Latitude (degres decimaux),Longitude (degres decimaux),Latitude,Longitude,Altitude (m),Annee de debut,Annee de fin,Annee de debut HLY,Annee de fin HLY,Annee de debut DLY,Annee de fin DLY,Annee de debut MLY,Annee de fin MLY
LAC SAINT-PIERRE,QUEBEC,701LP0N,10975,71198.0,WBS,46.18,-72.92,461100000,-725500000,16.2,1994,2021,1994.0,2021.0,1995.0,2021.0,,
STE-FOY (U. LAVAL),QUEBEC,701Q004,27377,71392.0,WJB,46.78,-71.29,464649000,-711715000,91.4,1996,2021,1996.0,2021.0,1997.0,2021.0,,
LEMIEUX,QUEBEC,701Q009,29714,71616.0,MLU,46.3,-72.06,461813000,-720339000,97.2,1999,2021,1999.0,2021.0,1999.0,2021.0,,
QUEBEC/JEAN LESAGE INTL,QUEBEC,701S001,26892,71714.0,WQB,46.8,-71.38,464813000,-712254000,60.0,1992,2021,2005.0,2021.0,1992.0,2021.0,1998.0,2016.0
ABERCORN,QUEBEC,7020040,5308,,,45.03,-72.67,450200000,-724000000,149.4,1950,1985,,,1950.0,1985.0,1950.0,1985.0
ACTON VALE,QUEBEC,7020055,5309,,,45.65,-72.57,453900000,-723400000,94.5,1964,1973,,,1964.0,1973.0,1964.0,1973.0
ARTHABASKA,QUEBEC,7020305,5310,,,46.02,-71.95,460100000,-715700000,140.0,1969,2021,,,1969.0,2021.0,1969.0,2018.0
ASBESTOS,QUEBEC,7020360,5311,,,45.77,-71.95,454600000,-715700000,228.6,1948,1987,,,1948.0,1987.0,1948.0,1987.0
AUDET,QUEBEC,7020391,5312,,,45.65,-70.73,453900000,-704400000,513.6,1965,1985,,,1965.0,1985.0,1965.0,1985.0
AUTEUIL,QUEBEC,7020392,5313,,,45.65,-73.73,453900000,-734400000,53.0,1983,2016,,,1983.0,2016.0,1983.0,2016.0
BEAUCEVILLE,QUEBEC,7020560,5314,,,46.2,-70.77,461200000,-704600000,160.0,1913,1985,,,1913.0,1985.0,1913.0,1985.0
BEAUHARNOIS,QUEBEC,7020562,10948,,WBH,45.17,-73.92,451000000,-735500000,33.9,1994,1994,1994.0,1994.0,,,,
BEAUHARNOIS,QUEBEC,7020564,42007,,MBR,45.32,-73.91,451910000,-735444000,22.0,2003,2006,2003.0,2006.0,,,,
BEAUSEJOUR,QUEBEC,7020567,5315,,,46.67,-71.17,464000000,-711000000,106.7,1975,2020,,,1975.0,2020.0,1975.0,2018.0
BECANCOUR,QUEBEC,7020570,5316,,,46.33,-72.43,462000000,-722600000,14.9,1966,1994,,,1966.0,1994.0,1966.0,1994.0
BETHANIE,QUEBEC,7020750,5317,,,45.5,-72.43,453000000,-722600000,198.1,1968,1985,,,1968.0,1985.0,1968.0,1985.0
BIRCHTON,QUEBEC,7020785,5318,,,45.37,-71.67,452200000,-714000000,,1973,1981,,,1973.0,1981.0,1973.0,1981.0
BISHOPTON,QUEBEC,7020800,5319,,,45.58,-71.57,453500000,-713400000,213.4,1948,1996,,,1948.0,1996.0,1948.0,1996.0
BLACK LAKE,QUEBEC,7020808,5320,,,46.05,-71.37,460300000,-712200000,262.7,1961,1962,,,1961.0,1962.0,1961.0,1962.0
